quanta_author,quanta_pub_date,quanta_title,number_arxiv_links
['Ben Brubaker'],2023-01-18,"Finally, a Fast Algorithm for Shortest Paths on Negative Graphs",2
['Ben Brubaker'],2022-11-23,AI Reveals New Possibilities in Matrix Multiplication,2
['Charlie Wood'],2023-01-11,Starfish Whisperer Develops a Physical Language of Life,0
['Katie McCormick'],2022-12-05,Asymmetry Detected in the Distribution of Galaxies,3
['Ben Brubaker'],2023-01-09,New Algorithm Closes Quantum Supremacy Window,1
['Charlie Wood'],2023-03-23,Wormhole Experiment Called Into Question,8
['Rebecca Boyle'],2023-01-20,Standard Model of Cosmology Survives JWST’s Surprising Finds,7
['Marta Zaraska'],2023-02-28,How Loneliness Reshapes the Brain,0
['Polly Stryker'],2023-02-09,"The Joy of Asking About Infinity, Jellyfish and the End of the Universe",0
['Thomas Lewton'],2023-03-07,"Black Holes Will Destroy All Quantum States, Researchers Argue",5
['Leila Sloman'],2023-02-16,Quantum Field Theory Pries Open Mathematical Puzzle,1
['Steven Strogatz'],2023-03-08,Can We Program Our Cells?,0
['Joanna Thompson'],2022-11-15,The Gut Microbiome Helps Social Skills Develop in the Brain,0
['Veronique Greenwood'],2022-12-19,Holly Moeller Finds Keys to Ecology in Cells That Steal,0
['Erica Klarreich'],2023-03-27,Emmy Murphy Is a Mathematician Who Finds Beauty in Flexibility,0
['Jordana Cepelewicz'],2022-11-16,Computer Helps Prove Long-Sought Fluid Equation Singularity,1
['Patrick Honner'],2023-03-24,The Symmetry That Makes Solving Math Equations Easy,0
['Jordana Cepelewicz'],2023-02-10,Mathematicians Complete Quest to Build ‘Spherical Cubes’,2
['Claudia Dreifus'],2023-02-13,She Studies Growing Arteries to Aid Heart Attack Recovery,0
"[""Jonathan O'Callaghan""]",2023-01-30,Astronomers Say They Have Spotted the Universe’s First Stars,2
['Anna Gibbs'],2023-03-06,Simpler Math Predicts How Close Ecosystems Are to Collapse,0
['Leila Sloman'],2022-11-09,Cryptography’s Future Will Be Quantum-Safe. Here’s How It Will Work.,1
['Tara C. Smith'],2023-02-23,Can a Fungus Really Take Over Our Brains?,0
['Ben Brubaker'],2023-01-25,The Computer Scientist Who Finds Life Lessons in Board Games,1
['Yasemin Saplakoglu'],2022-12-14,How the Brain Distinguishes Memories From Perceptions,0
['Leila Sloman'],2023-03-21,Surprise Computer Science Proof Stuns Mathematicians,2
['Max G. Levy'],2023-02-01,Machines Learn Better if We Teach Them the Basics,4
['Natalie Wolchover'],2022-12-22,The Biggest Discoveries in Physics in 2022,0
['Yasemin Saplakoglu'],2023-02-21,"With Nothing to Eat Except Viruses, Some Microbes Thrive",0
['Rachel Crowell'],2023-03-01,An Applied Mathematician Strengthens AI With Pure Math,1
['Anil Ananthaswamy'],2023-01-05,The Physics Principle That Inspired Modern AI Art,3
['Lyndie Chiou'],2022-11-07,The Enduring Mystery of the Dragonfly 44 Galaxy,3
['Charlie Wood'],2023-02-22,Physicists Use Quantum Mechanics to Pull Energy out of Nothing,4
['Jordana Cepelewicz'],2023-03-09,Long-Sought Math Proof Unlocks More Mysterious ‘Modular Forms’,2
['Erica Klarreich'],2023-01-19,Mathematicians Roll Dice and Get Rock-Paper-Scissors,5
['Ben Brubaker'],2023-03-02,Cryptographers Show How to Hide Invisible Backdoors in AI,2
['Carrie Arnold'],2022-11-02,Ocean Bacteria Reveal an Unexpected Multicellular Form,0
['Yasemin Saplakoglu'],2023-01-17,Mobile Genes From the Mother Shape the Baby’s Microbiome,0
['Jordana Cepelewicz'],2022-11-01,"In Math and Life, Svetlana Jitomirskaya Stares Down Complexity",0
['Rachel Crowell'],2022-11-22,"Wei Ho Is Drawn to Algebra, Geometry and the Human Side of Math",1
['John M. Beggs'],2023-01-31,A Physical Theory For When the Brain Performs Best,0
['Lyndie Chiou'],2023-03-28,"With AI, Astronomers Dig Up the Stars That Birthed the Milky Way",4
[],2023-03-08,Room-Temperature Superconductor Discovery Meets With Resistance,5
['Jordana Cepelewicz'],2022-12-15,‘Nasty’ Geometry Breaks Decades-Old Tiling Conjecture,3
['Bill Andrews'],2022-12-21,The Biggest Discoveries in Computer Science in 2022,0
['James R. Riordon'],2022-12-20,‘Fullertubes’ Join the Family of Carbon Crystals,0
['Thomas Lin'],2023-03-03,"Introducing Quanta’s New Math Game, Hyperjumps!",0
['Kevin Hartnett'],2023-02-15,"To Teach Computers Math, Researchers Merge AI Approaches",2
['Matt Carlstrom'],2022-12-22,Thoughtful and Funny Feedback From Quanta’s Audience in 2022,0
['Viviane Callier'],2023-01-10,Ants Live 10 Times Longer by Altering Their Insulin Responses,0
['Steve Nadis'],2023-02-07,Researchers Discover a More Flexible Approach to Machine Learning,1
['Erica Klarreich'],2022-11-29,Mathematical Trio Advances Centuries-Old Number Theory Problem,2
['Kevin Hartnett'],2023-01-03,"Long Out of Math, an AI Programmer Cracks a Pure Math Problem",7
['Natalie Wolchover'],2022-11-30,Physicists Create a Holographic Wormhole Using a Quantum Computer,9
['Stephen Ornes'],2023-03-16,The Unpredictable Abilities Emerging From Large AI Models,3
['John Rennie'],2022-12-21,Major Biology Discoveries From 2022,0
['Leila Sloman'],2023-03-15,Coloring by Numbers Reveals Arithmetic Patterns in Fractions,1
['Patrick Honner'],2023-01-23,The Basic Algebra Behind Secret Codes and Space Communication,0
['Zack Savitsky'],2023-03-13,Shadows in the Big Bang Afterglow Reveal Invisible Cosmic Structures,1
['Joshua Sokol'],2022-11-03,A Dream of Discovering Alien Life Finds New Hope,3
['Allison Parshall'],2022-12-07,"After a Classical Clobbering, a Quantum Advantage Remains",1
['Charlie Wood'],2023-02-06,How Our Reality May Be a Sum of All Possible Realities,1
['Ben Brubaker'],2023-03-22,"Bob Metcalfe, Ethernet Pioneer, Wins Turing Award",0
['Patrick Honner'],2022-11-21,Simple Geometry Shows When Two Shapes Are Equal,0
['Yasemin Saplakoglu'],2022-12-08,What Causes Alzheimer’s? Scientists Are Rethinking the Answer.,0
['Steve Nadis'],2023-01-24,Mathematicians Find an Infinity of Possible Black Hole Shapes,3
['Allison Whitten'],2022-11-10,A Brain-Inspired Chip Can Run AI With Far Less Energy,0
['Steven Strogatz'],2023-03-22,Is There Math Beyond the Equal Sign?,0
['Charlie Wood'],2023-01-27,How Quantum Physicists ‘Flipped Time’ (and How They Didn’t),5
['Carrie Arnold'],2022-11-08,How Supergenes Fuel Evolution Despite Harmful Mutations,0
['Leila Sloman'],2023-01-12,"In a Moment, Mathematicians Merge Probability and Number Theory",4
['Katie McCormick'],2023-02-27,Strange Solar Gamma Rays Discovered at Even Higher Energies,1
['Joanna Thompson'],2023-01-26,The Cause of Depression Is Probably Not What You Think,0
[],2023-01-04,"Inside Ancient Asteroids, Gamma Rays Made Building Blocks of Life",0
['Steven Strogatz'],2023-02-22,How Will the Universe End?,0
['Konstantin Kakaes'],2022-12-22,The Biggest Math Breakthroughs in 2022,0
['Leila Sloman'],2022-12-05,Infinite Patterns Appear In Numbers Described as Moving Systems,4
['Sean Carroll'],2022-11-14,How to Think About Relativity’s Concept of Space-Time,0
['Melanie Mitchell'],2022-12-13,What Does It Mean to Align AI With Human Values?,5
['Pradeep Mutalik'],2022-12-02,The Math Behind Wordle Guesses,0
['Lyndie Chiou'],2023-02-08,What Lights the Universe’s Standard Candles?,2
['Anna Gibbs'],2023-03-20,Dinosaur Bone Study Reveals That Not All Giants Grew Alike,0
['Kevin Hartnett'],2022-11-28,The Brain Uses Calculus to Control Fast Movements,0
['Thomas Lewton'],2022-12-12,She Turns Fluids Into ‘Black Holes’ and ‘Inflating Universes’,1
['Matt von Hippel'],2022-12-01,Crucial Computer Program for Particle Physics at Risk of Obsolescence,0
['Sheon Han'],2023-03-10,He Protects Privacy and AI Fairness With Statistics,0
['Allison Whitten'],2023-02-14,Gene Expression in Neurons Solves a Brain Evolution Puzzle,0
['Yasemin Saplakoglu'],2023-03-14,Global Microbiome Study Gives New View of Shared Health Risks,0
['Charlie Wood'],2022-11-17,Why This Universe? New Calculation Suggests Our Cosmos Is Typical.,3
['Leila Sloman'],2023-02-02,Mathematicians Prove This Knot Cannot Solve Major Problem,3
