,location,latitude,longitude,driving duration,driving distance,geoDistance
0,UIC,41.868922299999994,-87.64858476010119,38327.6,969976.0,14908.376328727347 km
1,WFU,,,,,
2,Wake Forest University,36.134335,-80.2781152,22898.0,598605.9,14213.79292063745 km
3,University of St. Thomas,44.942105,-93.18958430494229,60207.4,1624849.7,15291.407910580174 km
4,Western Kentucky University,36.984528999999995,-86.4576470016944,12737.9,317617.9,14358.894073281113 km
5,Washington & Lee University,37.7929993,-79.44773490479687,25112.1,661025.8,14389.953770377815 km
6,University of Kentucky,38.027038,-84.5048374161113,17471.3,445795.9,14458.217100080337 km
7,George Mason University,38.83133325,-77.30798838879116,35293.6,934725.1,14486.232096226191 km
8,West Virginia University,38.0325977,-78.49631828743813,28723.6,762152.7,14408.265314729535 km
9,University of Kentucky,38.027038,-84.5048374161113,17471.3,445795.9,14458.217100080337 km
10,University of Michigan,42.2942142,-83.71003893509601,38067.4,977537.4,14923.231415671738 km
11,University of South Carolina,33.99287595,-81.02675376219187,20634.5,532033.5,13983.565079454129 km
12,Pennsylvania State University,40.8025835,-77.85593833184565,43389.4,1118614.2,14708.725479369548 km
13,Clemson University,34.66869155,-82.83743475607795,14558.5,363577.4,14073.365469779643 km
14,University of Wyoming,41.3144774,-105.56432285957351,80043.2,2208734.4,14975.12644762922 km
15,University of Kansas,38.953491799999995,-95.26308879955823,44838.5,1175906.3,14644.325193406587 km
16,Texas Tech University,33.59375255,-101.89959552302756,65535.9,1828011.6,14097.218551511498 km
17,University of Georgia,33.9404278,-83.37304904988295,11897.4,279469.4,13997.345416238553 km
18,University of Texas at Tyler,32.316307800000004,-95.25369943794593,41631.5,1125483.7,13910.218946709949 km
19,University of Florida,29.6328784,-82.34901329340119,27415.4,720090.0,13513.060107713558 km
20,Michigan State University,42.7024238,-84.48032837503001,41490.6,1072403.7,14974.726986711441 km
21,Michigan State University,42.7024238,-84.48032837503001,41490.6,1072403.7,14974.726986711441 km
22,Davidson College,35.5032193,-80.83393027613258,22813.8,552427.0,14148.778668819414 km
23,Rice University,29.716791450000002,-95.40478113393792,48902.3,1321302.6,13623.922047478462 km
24,UW Madison,43.080274450000005,-89.43095871991434,45548.9,1214316.0,15056.467701738893 km
25,University of North Carolina at Chapel Hill,35.90503535,-79.04775326525107,28936.3,714853.1,14177.982765695442 km
26,Texas State University,29.8910941,-97.93768392991333,58135.4,1553793.2,13661.065419867182 km
27,Michigan State University,42.7024238,-84.48032837503001,41490.6,1072403.7,14974.726986711441 km
28,The University of Georgia,33.79083585,-84.27863490021281,8320.4,193968.8,13988.271032584438 km
29,Indiana University,41.704567749999995,-86.23822026017265,37291.9,905522.3,14878.831886902608 km
30,University of Arkansas,36.09352375,-94.17708979491738,38656.3,1059474.6,14320.03751001657 km
31,University of Virginia,38.0410576,-78.50549960183568,28794.5,763704.9,14409.278782991563 km
32,Ohio State University,40.00570905,-83.02866465596318,29242.5,751234.3,14664.659368770777 km
33,University of Nebraska Lincoln,40.8305567,-96.6697373,54128.8,1426254.0,14862.164512161533 km
34,Clemson University,34.66869155,-82.83743475607795,14558.5,363577.4,14073.365469779643 km
35,University of Dubuque,42.495065,-90.6965390386926,45967.6,1226078.4,15001.652019282958 km
36,College of St. Benedict and St. John's University,,,,,
37,University of TennesseeChattanooga,,,,,
38,University of Tennessee at Chattanooga,,,,,
39,University of Tennessee at Chattanooga,,,,,
40,Winthrop University,34.939120349999996,-81.03249109890248,21576.7,542802.5,14088.138978404673 km
41,University of CaliforniaSan Diego,,,,,
42,Georgia State University,33.754761349999995,-84.38819218475689,7589.9,185772.3,13985.182913334516 km
43,Georgia Institute of Technology,33.776033,-84.39884086001581,7547.2,182578.5,13987.620281155301 km
44,West Virginia University,38.0325977,-78.49631828743813,28723.6,762152.7,14408.265314729535 km
45,Iowa State University,42.02790455,-93.64461297801853,51365.3,1318462.4,14972.462306381705 km
46,Virginia Tech,37.22192675,-80.42728184013652,20951.3,549790.7,14335.205315978132 km
47,The University of Memphis,35.1189387,-89.93721959965887,20104.8,530901.3,14180.207561496314 km
48,Virginia Polytechnic Institute and State University,37.22192675,-80.42728184013652,20951.3,549790.7,14335.205315978132 km
49,Rutgers University,40.74068705,-74.17488897617616,49973.3,1295703.8,14669.693788297536 km
50,Korea University,,,,,
51,Graduate Student,,,,,
52,Western Kentucky University,36.984528999999995,-86.4576470016944,12737.9,317617.9,14358.894073281113 km
53,University of Memphis,35.1189387,-89.93721959965887,20104.8,530901.3,14180.207561496314 km
54,Vanderbilt University,36.14380105,-86.80281889095295,8712.4,215706.1,14268.75176479797 km
55,Florida International University,25.7553898,-80.3762832779774,47287.0,1265302.5,13068.437906543533 km
56,Vanderbilt University,36.14380105,-86.80281889095295,8712.4,215706.1,14268.75176479797 km
57,University of Alabama,33.21208215,-87.53967345126999,12719.6,332320.3,13950.640574663545 km
58,University of South Carolina,33.99287595,-81.02675376219187,20634.5,532033.5,13983.565079454129 km
59,Univeristy of South Carolina,,,,,
60,University of Tennessee At Chattanooga,,,,,
61,Florida State University,30.44235995,-84.29747867166262,26335.6,617910.9,13618.515518188158 km
62,ORNL,36.015175400000004,-84.24844946624644,7143.3,176214.7,14233.791945035515 km
63,Florida State University,30.44235995,-84.29747867166262,26335.6,617910.9,13618.515518188158 km
64,Department of MathematicsUniversity of Mississippi,,,,,
65,University of Tennessee at Martin,36.3414523,-88.8642273,17724.8,451997.2,14306.968906645116 km
66,Clemson University,34.66869155,-82.83743475607795,14558.5,363577.4,14073.365469779643 km
67,Mercer University,32.831806,-83.6499029,13118.1,322763.8,13877.154427586958 km
68,Hume-Fogg Academic High School,,,,,
69,UNC Greensboro,36.0679595,-79.81036691043005,25016.2,632047.2,14202.486491496134 km
70,University of North Carolina at Pembroke,34.6916696,-79.20136806834203,28638.4,733253.4,14045.272912460625 km
71,Department of Mathematics Iowa State University,,,,,
72,University of Tennessee At Chattanooga,,,,,
73,Western Kentucky University,36.984528999999995,-86.4576470016944,12737.9,317617.9,14358.894073281113 km
74,UNC Greensboro,36.0679595,-79.81036691043005,25016.2,632047.2,14202.486491496134 km
75,University of Dayton,39.73845985,-84.17919478013708,25904.3,659214.9,14644.668830258403 km
76,University of Nebraska-Lincoln,40.8305567,-96.6697373,54128.8,1426254.0,14862.164512161533 km
77,University of Memphis,35.1189387,-89.93721959965887,20104.8,530901.3,14180.207561496314 km
78,Loyola University Chicago,41.999149200000005,-87.65737041681818,38852.4,983660.7,14922.843633232742 km
79,Williams College and the Institute for the Quantitative Study of InclusionDiversityand Equity,,,,,
80,Columbia University,40.8176657,-73.95851439291599,51296.5,1329938.9,14676.28339748417 km
81,University of North Carolina Charlotte,35.30649445,-80.73497049689712,22433.1,569689.8,14126.21119691567 km
82,Williams College,42.7130236,-73.2030082,61541.4,1563209.7,14878.903881177399 km
83,Claremont McKenna College,34.099957700000004,-117.70617915411111,117623.0,3374144.9,14240.290120765532 km
84,AMS,32.35014835,-97.44381041354467,49180.0,1343544.0,13929.539629572344 km
85,Stanford University,37.431313849999995,-122.16936535498309,136942.1,3871645.9,14627.825147354219 km
86,Kennesaw State University,34.0389231,-84.58318158156497,6121.9,148326.2,14018.1741448737 km
87,Eastern Kentucky University,37.734161900000004,-84.30119844712644,15674.1,407294.8,14424.177736076754 km
88,University of Dayton,39.73845985,-84.17919478013708,25904.3,659214.9,14644.668830258403 km
89,The Citadel,32.79639815,-79.96122935003301,26697.0,668041.7,13842.40690885399 km
90,University of North Carolina Greensboro,36.0679595,-79.81036691043005,25016.2,632047.2,14202.486491496134 km
91,University of Tennessee At Chattanooga,,,,,
92,University of CaliforniaBerkeley,,,,,
93,Yale University,41.25713055,-72.98966960152231,56834.9,1445662.6,14716.230276504997 km
94,University of Minnesota,48.3785292,-92.83111715445486,76382.4,1962221.9,15668.797088136575 km
95,University of Wisconsin - Madison,43.080274450000005,-89.43095871991434,45548.9,1214316.0,15056.467701738893 km
96,University of Utah,40.762813699999995,-111.83687191368261,100517.2,2829611.1,14950.041721611806 km
97,Georgia Southern University,32.421438050000006,-81.78450528646616,20667.1,521023.9,13816.34481230352 km
98,University of Alabama-Birmingham,33.5016153,-86.80604756076488,9305.4,240138.8,13976.787364093921 km
99,University of Illinois at Chicago,41.868922299999994,-87.64858476010119,38327.6,969976.0,14908.376328727347 km
100,Drexel University,39.9574,-75.19026656335703,46301.2,1207582.9,14592.127074199807 km
101,Iowa State University,42.02790455,-93.64461297801853,51365.3,1318462.4,14972.462306381705 km
102,Florida International University,25.7553898,-80.3762832779774,47287.0,1265302.5,13068.437906543533 km
103,Dartmouth College,43.70526735,-72.29052293092106,68669.1,1750067.7,14980.351551754997 km
104,Stony Brook University,40.9090809,-73.12055180275716,55851.2,1409736.2,14678.955974551121 km
105,Harvard University,42.36790855,-71.12678237443698,65459.3,1663722.1,14822.27295023463 km
106,Indiana University,41.704567749999995,-86.23822026017265,37291.9,905522.3,14878.831886902608 km
107,University of Iowa,41.631102350000006,-91.54075201642047,43620.9,1120937.9,14912.62278508435 km
108,University of Alabama,33.21208215,-87.53967345126999,12719.6,332320.3,13950.640574663545 km
109,Georgia Institute of Technology,33.776033,-84.39884086001581,7547.2,182578.5,13987.620281155301 km
110,Georgia Institute of Technology,33.776033,-84.39884086001581,7547.2,182578.5,13987.620281155301 km
111,Georgia Institute of Technology,33.776033,-84.39884086001581,7547.2,182578.5,13987.620281155301 km
112,UNCC,35.3006037,-80.7274829,22465.5,570612.5,14125.49720872105 km
113,Iowa State University,42.02790455,-93.64461297801853,51365.3,1318462.4,14972.462306381705 km
114,UAB,33.5016153,-86.80604756076488,9305.4,240138.8,13976.787364093921 km
115,UNC Charlotte,35.3107104,-80.745231,22303.3,568406.5,14126.76359746391 km
116,UNL,40.82001795,-96.69519209383094,54186.0,1427339.7,14861.180844985576 km
117,George Mason University,38.83133325,-77.30798838879116,35293.6,934725.1,14486.232096226191 km
118,SUNY College At Old Westbury,40.79377495,-73.56766954473206,53930.7,1356825.3,14670.186407524647 km
119,Lindsey Wilson College,37.1028085,-85.3003362,13427.0,295983.0,14362.587608859832 km
120,The University of Tennessee at Chattanooga,,,,,
121,University of Tennessee at Chattanooga615 McCallie AvenueChattanoogaTN 37403-2598,,,,,
122,University of Tennessee at Chattanooga,,,,,
123,Vanderbilt University,36.14380105,-86.80281889095295,8712.4,215706.1,14268.75176479797 km
124,Brown University,41.8186395,-71.4088008716793,63978.3,1616957.9,14764.145081470982 km
125,Princeton University,40.33867515,-74.65836549131683,48010.0,1260344.3,14629.558950045217 km
126,Louisiana State University,30.405761849999998,-91.18597450265686,32769.0,884893.9,13668.861563790724 km
127,Oklahoma State University,36.128476750000004,-97.08398055028107,47737.5,1301903.0,14344.900600852454 km
128,Loyola University Chicago,41.999149200000005,-87.65737041681818,38852.4,983660.7,14922.843633232742 km
129,Florida International University,25.7553898,-80.3762832779774,47287.0,1265302.5,13068.437906543533 km
130,University of Nebraska-Lincoln,40.8305567,-96.6697373,54128.8,1426254.0,14862.164512161533 km
131,University of MarylandBaltimore County,,,,,
132,College of William & Mary,37.26908455,-76.72273688917291,36187.7,961816.1,14308.596605628854 km
133,Auburn University Montgomery,32.3709721,-86.1771873,15041.4,391760.3,13846.812857337734 km
134,Middle Tennessee State University,35.84860085,-86.36090357044624,7085.9,167582.3,14232.57406783265 km
135,UNC Greensboro,36.0679595,-79.81036691043005,25016.2,632047.2,14202.486491496134 km
136,University of Tennessee/ Knoxville,35.9516352,-83.93088187962596,7194.1,177607.0,14224.158245863373 km
137,University of Central Florida,28.59899755,-81.19712501183949,34686.8,914954.4,13389.283762815512 km
138,Georgia Institute of Technology,33.776033,-84.39884086001581,7547.2,182578.5,13987.620281155301 km
139,University of Central Florida,28.59899755,-81.19712501183949,34686.8,914954.4,13389.283762815512 km
140,University of West Virginia,39.43889815,-78.98759802168377,37101.1,944761.6,14567.836081597094 km
141,Illinois State University,40.51799375,-89.00846070697986,33721.9,897596.2,14769.830056055996 km
142,Middle Tennessee State University,35.84860085,-86.36090357044624,7085.9,167582.3,14232.57406783265 km
143,Vanderbilt University,36.14380105,-86.80281889095295,8712.4,215706.1,14268.75176479797 km
144,Washington University in St. Louis,38.64724015,-90.3084017323959,27515.9,718574.7,14573.155699105706 km
145,University of Alabama At Birmingham,33.5016153,-86.80604756076488,9305.4,240138.8,13976.787364093921 km
146,Clemson University,34.66869155,-82.83743475607795,14558.5,363577.4,14073.365469779643 km
147,University of Mississippi,34.3646125,-89.53963491020966,20300.1,484888.5,14093.739013091523 km
148,Student,44.04862655,-92.42425826216075,57065.9,1533785.6,15186.764651039144 km
149,University of Mississippi,34.3646125,-89.53963491020966,20300.1,484888.5,14093.739013091523 km
150,University of South Florida,28.0599999,-82.41383619025117,34440.4,912521.2,13339.901643241199 km
151,University of South Florida,28.0599999,-82.41383619025117,34440.4,912521.2,13339.901643241199 km
152,University of South Florida,28.0599999,-82.41383619025117,34440.4,912521.2,13339.901643241199 km
153,University College London,41.379133350000004,-72.10653061495535,60360.2,1526359.0,14721.843173555295 km
154,Grand Valley State University,42.9678586,-85.89964904754231,43868.3,1077372.6,15015.716299125872 km
155,KIS-Korea International School,,,,,
156,NTU,36.8119877,-76.02791921530527,40322.6,1049731.5,14252.06294458649 km
157,Louisiana State University,30.405761849999998,-91.18597450265686,32769.0,884893.9,13668.861563790724 km
158,Western Kentucky University,36.984528999999995,-86.4576470016944,12737.9,317617.9,14358.894073281113 km
159,Arizona State University,33.4213467,-111.93315832031976,101278.4,2819914.3,14137.237642999744 km
160,University of Tennessee at Chattanooga,,,,,
161,Arizona State University,33.4213467,-111.93315832031976,101278.4,2819914.3,14137.237642999744 km
162,Texas State University,29.8910941,-97.93768392991333,58135.4,1553793.2,13661.065419867182 km
163,Colby College,44.5614627,-69.65848734910011,76595.9,1950672.7,15051.280377481977 km
164,George Mason University,38.83133325,-77.30798838879116,35293.6,934725.1,14486.232096226191 km
165,University of Michigan,42.2942142,-83.71003893509601,38067.4,977537.4,14923.231415671738 km
166,Georgia Tech,33.776033,-84.39884086001581,7547.2,182578.5,13987.620281155301 km
167,Berea College,37.5717496,-84.2902111,15039.5,388351.0,14406.139720544876 km
168,Rutgers University,40.74068705,-74.17488897617616,49973.3,1295703.8,14669.693788297536 km
169,Rutgers University,40.74068705,-74.17488897617616,49973.3,1295703.8,14669.693788297536 km
170,Texas A&M University,30.6108618,-96.35206061388457,51400.8,1336037.6,13729.527657044857 km
171,Instituto de MatemáticasUNAM,,,,,
172,University of Illinois Springfield,39.7298743,-89.6183313,31377.3,807752.1,14687.483105029665 km
173,California State UniversityLos Angeles,,,,,
174,Stony Brook University,40.9090809,-73.12055180275716,55851.2,1409736.2,14678.955974551121 km
175,Yale University,41.25713055,-72.98966960152231,56834.9,1445662.6,14716.230276504997 km
176,Massachusetts Institute of Technology,42.3582529,-71.0966272383055,65542.8,1664911.2,14820.936660070054 km
177,University of Florida,29.6328784,-82.34901329340119,27415.4,720090.0,13513.060107713558 km
178,University of Minnesota Duluth,46.8203898,-92.08527412081386,64965.1,1733686.6,15490.74368572327 km
179,University of ColoradoColorado Springs,,,,,
180,University of Arkansas,36.09352375,-94.17708979491738,38656.3,1059474.6,14320.03751001657 km
181,University of Florida,29.6328784,-82.34901329340119,27415.4,720090.0,13513.060107713558 km
182,Middle Tennessee State University,35.84860085,-86.36090357044624,7085.9,167582.3,14232.57406783265 km
183,Georgia Southern University,32.421438050000006,-81.78450528646616,20667.1,521023.9,13816.34481230352 km
184,University of Central Florida,28.59899755,-81.19712501183949,34686.8,914954.4,13389.283762815512 km
185,Texas Tech University,33.59375255,-101.89959552302756,65535.9,1828011.6,14097.218551511498 km
186,University of Tennessee at Chattanooga,,,,,
187,Middle Tennessee State University,35.84860085,-86.36090357044624,7085.9,167582.3,14232.57406783265 km
188,West Virginia University,38.0325977,-78.49631828743813,28723.6,762152.7,14408.265314729535 km
189,Arizona State University,33.4213467,-111.93315832031976,101278.4,2819914.3,14137.237642999744 km
190,University of South Carolina,33.99287595,-81.02675376219187,20634.5,532033.5,13983.565079454129 km
191,Georgia Tech,33.776033,-84.39884086001581,7547.2,182578.5,13987.620281155301 km
192,Georgia State University,33.754761349999995,-84.38819218475689,7589.9,185772.3,13985.182913334516 km
193,Georgia tech,33.776033,-84.39884086001581,7547.2,182578.5,13987.620281155301 km
194,University of Memphis,35.1189387,-89.93721959965887,20104.8,530901.3,14180.207561496314 km
195,Agnes Scott College,33.7688851,-84.2944452,8234.9,193856.5,13985.97541773601 km
196,University of Georgia,33.9404278,-83.37304904988295,11897.4,279469.4,13997.345416238553 km
197,University of Arkansas,36.09352375,-94.17708979491738,38656.3,1059474.6,14320.03751001657 km
198,Louisiana State University,30.405761849999998,-91.18597450265686,32769.0,884893.9,13668.861563790724 km
199,University of Georgia,33.9404278,-83.37304904988295,11897.4,279469.4,13997.345416238553 km
200,Georgia Institute of Technology,33.776033,-84.39884086001581,7547.2,182578.5,13987.620281155301 km
201,Department of MathematicsIndiana UniversityBloomington,,,,,
202,Louisiana State University,30.405761849999998,-91.18597450265686,32769.0,884893.9,13668.861563790724 km
203,University of Puerto Rico - Mayaguez,,,,,
204,University of Arkansas,36.09352375,-94.17708979491738,38656.3,1059474.6,14320.03751001657 km
205,University of Tennessee at Chattanooga,,,,,
206,Oak Ridge National Laboratory,35.93006535,-84.31242463851981,7067.6,159819.3,14224.912967422155 km
207,The University of TennesseeKnoxville,,,,,
208,SAIC,34.7210494,-86.67571636468594,7543.2,176532.7,14110.497228102839 km
209,Kennesaw State University,34.0389231,-84.58318158156497,6121.9,148326.2,14018.1741448737 km
210,Brenau University,34.3028793,-83.8215664,10173.5,253646.4,14041.088517624195 km
211,University of Dayton,39.73845985,-84.17919478013708,25904.3,659214.9,14644.668830258403 km
212,Kennesaw State university,34.0389231,-84.58318158156497,6121.9,148326.2,14018.1741448737 km
213,University of Alabama at Birmingham,33.5016153,-86.80604756076488,9305.4,240138.8,13976.787364093921 km
214,University of Tennessee/ Knoxville,35.9516352,-83.93088187962596,7194.1,177607.0,14224.158245863373 km
215,University of Tennessee at Chattanooga,,,,,
216,Georgia Institute of Technology,33.776033,-84.39884086001581,7547.2,182578.5,13987.620281155301 km
217,Kookmin University,,,,,
218,Kyonggi University,,,,,
219,West Virginia University,38.0325977,-78.49631828743813,28723.6,762152.7,14408.265314729535 km
220,Clemson Univ,34.66869155,-82.83743475607795,14558.5,363577.4,14073.365469779643 km
221,Clemson University,34.66869155,-82.83743475607795,14558.5,363577.4,14073.365469779643 km
222,Clemson University,34.66869155,-82.83743475607795,14558.5,363577.4,14073.365469779643 km
223,Florida A&M University,30.4264137,-84.2861709675126,26563.0,619647.7,13616.661738251032 km
224,University of Virginia,38.0410576,-78.50549960183568,28794.5,763704.9,14409.278782991563 km
225,University of Georgia,33.9404278,-83.37304904988295,11897.4,279469.4,13997.345416238553 km
226,University of Georgia,33.9404278,-83.37304904988295,11897.4,279469.4,13997.345416238553 km
227,Georgia Tech,33.776033,-84.39884086001581,7547.2,182578.5,13987.620281155301 km
228,Georgia Tech,33.776033,-84.39884086001581,7547.2,182578.5,13987.620281155301 km
229,Georgia Institute of Technology,33.776033,-84.39884086001581,7547.2,182578.5,13987.620281155301 km
230,Baylor University,31.55043405,-97.1102905567766,50476.0,1343448.7,13838.767969277647 km
231,Oberlin College,41.2959178,-82.22146700795557,36672.1,927506.1,14800.475797426612 km
232,Auburn University,32.591987700000004,-85.4959487362446,14166.9,356209.7,13865.734886517183 km
233,The Ohio State University,40.00570905,-83.02866465596318,29242.5,751234.3,14664.659368770777 km
234,Anderson University,40.11455395,-85.6607189805517,29325.3,742597.8,14698.385069086009 km
235,Clemson University,34.66869155,-82.83743475607795,14558.5,363577.4,14073.365469779643 km
236,Clemson University,34.66869155,-82.83743475607795,14558.5,363577.4,14073.365469779643 km
237,Carolina University,36.08820135,-80.25064972062026,23360.0,605097.2,14208.463660476884 km
238,University of North Carolina at Greensboro,36.0679595,-79.81036691043005,25016.2,632047.2,14202.486491496134 km
239,UNC Greensboro,36.0679595,-79.81036691043005,25016.2,632047.2,14202.486491496134 km
